x,y,classification
4.010885042,2.624633151,0
3.781008755,2.878987547,0
2.412457959,1.207274046,0
4.230071771,2.731263334,0
6.7107081,1.434150531,0
4.191782744,1.205668714,0
4.585868209,2.000024652,0
5.428610342,2.431975691,0
3.173313991,0.982388509,0
6.18105957,2.48287595,0
7.852702989,0.626542306,0
6.118416909,1.031981783,0
6.915259371,3.269124768,0
6.996752912,1.449408923,0
7.321542748,2.463954463,0
4.381522413,0.66034876,0
6.982330059,3.057535719,0
2.534869783,3.444134695,0
4.927129176,1.403499808,0
5.190327769,1.478254289,0
5.929399224,0.83533603,0
6.376032885,2.447290592,0
5.53350185,0.765479078,0
5.495314506,1.546249845,0
5.748959392,2.550277894,0
3.829734252,1.237745382,0
5.645703636,1.140269979,0
5.150444137,1.803039605,0
4.681842655,2.207947613,0
7.106112266,1.251005914,0
4.848315121,1.289050507,0
6.135586396,1.368709965,0
4.67937813,2.28509801,0
4.713802424,0.823446617,0
5.203017234,2.598412808,0
2.435767749,3.169232545,0
7.671224374,2.572512491,0
2.717264027,1.640804889,0
7.358246025,0.770039651,0
4.21747,2.372568692,0
3.040780791,2.324934455,0
4.607102604,2.298135606,0
6.693545358,2.892782627,0
2.471187871,3.402564636,0
7.482240438,2.134578027,0
7.61630277,0.513504451,0
2.177184238,2.891806512,0
6.475428672,3.438956971,0
2.998288649,2.875115914,0
5.481677619,1.404501791,0
10.48950356,11.04430075,1
9.867806648,9.273408757,1
7.370132741,9.192572979,1
7.613515575,9.287174489,1
12.4385562,10.9567929,1
12.65548186,10.69602714,1
12.0620661,10.39189016,1
9.690141648,11.15862018,1
9.902536253,8.976510493,1
11.54778819,9.576287929,1
7.315725632,10.68931202,1
7.256616095,8.755992956,1
12.17013038,9.803332288,1
10.72776554,11.20235327,1
11.25072881,9.280093295,1
11.61715802,9.358315333,1
7.565525891,8.556719711,1
9.070733684,10.8899149,1
8.931020526,8.865517377,1
10.04774855,11.44664756,1
11.33069398,11.08569734,1
9.186088603,11.25959591,1
8.623236635,11.49149069,1
12.40321284,10.76507908,1
10.84026218,10.2360429,1
12.08759274,11.40079658,1
7.919940283,9.560456464,1
9.35352034,8.94018487,1
11.81961249,9.478862538,1
9.023018506,8.982222296,1
11.19544078,9.364261809,1
7.265330306,9.794178541,1
10.13365445,9.332862344,1
8.992588931,8.584065206,1
8.308007396,11.42413884,1
10.98738941,10.74173038,1
8.303143416,8.50553021,1
11.64154813,9.693148981,1
9.220000781,9.171908516,1
8.023635165,10.31164253,1
9.353513551,10.40695712,1
8.907798434,10.26558806,1
8.511601579,11.06511262,1
12.46688141,9.677304733,1
12.21543996,9.525206982,1
9.04945744,8.863922413,1
7.0371766,9.854367154,1
8.503383378,11.25268864,1
10.75814335,10.47081417,1
11.00229688,11.02919727,1
9.003500679,10.75592479,1
